10_city,10_county,10_mean,10_method,10_site,pm_10_date
Woodland,Yolo,79.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1003,2020-10-06
Woodland,Yolo,39.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1003,2020-10-12
Woodland,Yolo,50.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1003,2020-10-18
Woodland,Yolo,31.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1003,2020-10-24
Woodland,Yolo,88.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1003,2020-10-30
Woodland,Yolo,62.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1003,2020-11-05
Woodland,Yolo,41.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1003,2020-11-11
Woodland,Yolo,18.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1003,2020-11-17
Woodland,Yolo,22.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1003,2020-11-23
Woodland,Yolo,28.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1003,2020-11-29
Woodland,Yolo,48.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1003,2020-12-05
Woodland,Yolo,17.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1003,2020-12-11
Woodland,Yolo,11.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1003,2020-12-17
Woodland,Yolo,12.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1003,2020-12-23
Woodland,Yolo,11.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,1003,2020-12-29
San Rafael,Marin,7.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0001,2020-01-04
San Rafael,Marin,14.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0001,2020-01-10
San Rafael,Marin,13.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0001,2020-01-22
San Rafael,Marin,15.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0001,2020-01-28
San Rafael,Marin,5.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0001,2020-02-03
San Rafael,Marin,6.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0001,2020-02-09
San Rafael,Marin,19.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0001,2020-02-15
San Rafael,Marin,19.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0001,2020-02-21
San Rafael,Marin,5.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0001,2020-02-27
San Rafael,Marin,18.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0001,2020-03-04
San Rafael,Marin,12.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0001,2020-03-10
San Rafael,Marin,6.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0001,2020-03-16
San Rafael,Marin,9.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0001,2020-03-22
San Rafael,Marin,13.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0001,2020-03-28
San Rafael,Marin,11.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0001,2020-04-03
San Rafael,Marin,6.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0001,2020-04-09
San Rafael,Marin,16.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0001,2020-04-15
San Rafael,Marin,12.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0001,2020-04-21
San Rafael,Marin,11.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0001,2020-04-27
San Rafael,Marin,8.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0001,2020-05-03
San Rafael,Marin,10.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0001,2020-05-09
San Rafael,Marin,7.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0001,2020-05-15
San Rafael,Marin,13.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0001,2020-05-21
San Rafael,Marin,16.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0001,2020-05-27
San Rafael,Marin,15.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0001,2020-06-02
San Rafael,Marin,8.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0001,2020-06-08
San Rafael,Marin,4.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0001,2020-06-14
San Rafael,Marin,6.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0001,2020-06-20
San Rafael,Marin,16.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0001,2020-07-02
San Rafael,Marin,21.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0001,2020-07-08
San Rafael,Marin,15.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0001,2020-07-14
San Rafael,Marin,6.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0001,2020-07-20
San Rafael,Marin,7.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0001,2020-07-26
San Rafael,Marin,8.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0001,2020-08-01
San Rafael,Marin,15.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0001,2020-08-07
San Rafael,Marin,15.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0001,2020-08-20
San Rafael,Marin,115.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0001,2020-09-12
San Rafael,Marin,28.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0001,2020-08-25
San Rafael,Marin,29.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0001,2020-08-31
San Rafael,Marin,35.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0001,2020-09-06
San Rafael,Marin,11.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0001,2020-09-18
San Rafael,Marin,8.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0001,2020-09-24
San Rafael,Marin,26.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0001,2020-09-30
San Rafael,Marin,16.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0001,2020-10-12
San Rafael,Marin,18.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0001,2020-10-18
San Rafael,Marin,15.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0001,2020-10-24
San Rafael,Marin,34.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0001,2020-10-30
San Rafael,Marin,10.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0001,2020-11-13
San Rafael,Marin,10.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0001,2020-11-17
San Rafael,Marin,9.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0001,2020-11-23
San Rafael,Marin,19.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0001,2020-11-29
San Rafael,Marin,39.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0001,2020-12-05
San Rafael,Marin,11.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0001,2020-12-11
San Rafael,Marin,12.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0001,2020-12-17
San Rafael,Marin,15.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0001,2020-12-23
San Rafael,Marin,13.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,0001,2020-12-29
Vacaville,Solano,326.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,3001,2020-08-19
Vacaville,Solano,43.0,HI-VOL SA/GMW-1200 - GRAVIMETRIC,3001,2020-08-25
