,city,month,carbon max
12,San Jose,2020-01-01,1.05
16,San Jose,2020-05-01,0.591667
22,San Jose,2020-11-01,1.25
108,San Pablo,2020-01-01,0.791667
109,San Pablo,2020-02-01,0.595833
110,San Pablo,2020-03-01,0.5
111,San Pablo,2020-04-01,0.491667
112,San Pablo,2020-05-01,0.491667
113,San Pablo,2020-06-01,0.469565
114,San Pablo,2020-07-01,0.522727
115,San Pablo,2020-08-01,0.826087
116,San Pablo,2020-09-01,1.758333
117,San Pablo,2020-10-01,0.9625
118,San Pablo,2020-11-01,0.783333
119,San Pablo,2020-12-01,0.808333
54,San Rafael,2020-07-01,0.229167
50,San Rafael,2020-03-01,0.3875
51,San Rafael,2020-04-01,0.347826
52,San Rafael,2020-05-01,0.23913
53,San Rafael,2020-06-01,0.283333
55,San Rafael,2020-08-01,0.66087
59,San Rafael,2020-12-01,0.665217
57,San Rafael,2020-10-01,0.929167
58,San Rafael,2020-11-01,0.570833
49,San Rafael,2020-02-01,0.533333
56,San Rafael,2020-09-01,1.433333
48,San Rafael,2020-01-01,0.508333
120,Sebastopol,2020-01-01,0.565217
131,Sebastopol,2020-12-01,0.541667
122,Sebastopol,2020-03-01,0.341667
123,Sebastopol,2020-04-01,0.333333
124,Sebastopol,2020-05-01,0.329167
125,Sebastopol,2020-06-01,0.354167
126,Sebastopol,2020-07-01,0.313043
127,Sebastopol,2020-08-01,0.482609
128,Sebastopol,2020-09-01,1.533333
129,Sebastopol,2020-10-01,0.773913
130,Sebastopol,2020-11-01,0.466667
121,Sebastopol,2020-02-01,0.415385
191,Stockton,2020-12-01,0.575565
190,Stockton,2020-11-01,0.995833
189,Stockton,2020-10-01,1.224
188,Stockton,2020-09-01,1.446348
187,Stockton,2020-08-01,0.870833
186,Stockton,2020-07-01,0.245833
184,Stockton,2020-05-01,0.316667
183,Stockton,2020-04-01,0.245833
182,Stockton,2020-03-01,0.4875
181,Stockton,2020-02-01,0.633333
180,Stockton,2020-01-01,0.761111
185,Stockton,2020-06-01,0.2625
44,Vallejo,2020-09-01,1.408333
43,Vallejo,2020-08-01,0.725
42,Vallejo,2020-07-01,0.2375
41,Vallejo,2020-06-01,0.458333
40,Vallejo,2020-05-01,0.382609
37,Vallejo,2020-02-01,0.866667
38,Vallejo,2020-03-01,0.5125
47,Vallejo,2020-12-01,1.022727
36,Vallejo,2020-01-01,0.865217
46,Vallejo,2020-11-01,1.020833
39,Vallejo,2020-04-01,0.4
45,Vallejo,2020-10-01,1.033333
