,city,month,ozone median
73,Live Oak,2020-02-01,0.024783
74,Live Oak,2020-03-01,0.029
80,Live Oak,2020-09-01,0.028043
75,Live Oak,2020-04-01,0.029304
76,Live Oak,2020-05-01,0.030471
77,Live Oak,2020-06-01,0.0263405
78,Live Oak,2020-07-01,0.0262125
79,Live Oak,2020-08-01,0.025792
83,Live Oak,2020-12-01,0.015958
81,Live Oak,2020-10-01,0.02725
185,Livermore,2020-06-01,0.0263405
189,Livermore,2020-10-01,0.02725
188,Livermore,2020-09-01,0.028043
187,Livermore,2020-08-01,0.025792
186,Livermore,2020-07-01,0.0262125
184,Livermore,2020-05-01,0.030471
183,Livermore,2020-04-01,0.029304
182,Livermore,2020-03-01,0.029
181,Livermore,2020-02-01,0.024783
180,Livermore,2020-01-01,0.017304
190,Livermore,2020-11-01,0.019083
191,Livermore,2020-12-01,0.015958
35,Los Gatos,2020-12-01,0.015958
31,Los Gatos,2020-08-01,0.025792
30,Los Gatos,2020-07-01,0.0262125
29,Los Gatos,2020-06-01,0.0263405
28,Los Gatos,2020-05-01,0.030471
34,Los Gatos,2020-11-01,0.019083
27,Los Gatos,2020-04-01,0.029304
26,Los Gatos,2020-03-01,0.029
25,Los Gatos,2020-02-01,0.024783
24,Los Gatos,2020-01-01,0.017304
33,Los Gatos,2020-10-01,0.02725
32,Los Gatos,2020-09-01,0.028043
121,Napa,2020-02-01,0.024783
131,Napa,2020-12-01,0.015958
130,Napa,2020-11-01,0.019083
129,Napa,2020-10-01,0.02725
128,Napa,2020-09-01,0.028043
127,Napa,2020-08-01,0.025792
126,Napa,2020-07-01,0.0262125
125,Napa,2020-06-01,0.0263405
123,Napa,2020-04-01,0.029304
122,Napa,2020-03-01,0.029
120,Napa,2020-01-01,0.017304
124,Napa,2020-05-01,0.030471
142,Not in a city,2020-11-01,0.019083
141,Not in a city,2020-10-01,0.02725
140,Not in a city,2020-09-01,0.028043
139,Not in a city,2020-08-01,0.025792
138,Not in a city,2020-07-01,0.0262125
143,Not in a city,2020-12-01,0.015958
137,Not in a city,2020-06-01,0.0263405
136,Not in a city,2020-05-01,0.030471
135,Not in a city,2020-04-01,0.029304
134,Not in a city,2020-03-01,0.029
132,Not in a city,2020-01-01,0.017304
133,Not in a city,2020-02-01,0.024783
202,Oakland,2020-11-01,0.019083
203,Oakland,2020-12-01,0.015958
196,Oakland,2020-05-01,0.030471
193,Oakland,2020-02-01,0.024783
194,Oakland,2020-03-01,0.029
195,Oakland,2020-04-01,0.029304
197,Oakland,2020-06-01,0.0263405
198,Oakland,2020-07-01,0.0262125
199,Oakland,2020-08-01,0.025792
200,Oakland,2020-09-01,0.028043
201,Oakland,2020-10-01,0.02725
192,Oakland,2020-01-01,0.017304
12,Redwood City,2020-01-01,0.017304
13,Redwood City,2020-02-01,0.024783
14,Redwood City,2020-03-01,0.029
16,Redwood City,2020-05-01,0.030471
15,Redwood City,2020-04-01,0.029304
18,Redwood City,2020-07-01,0.0262125
17,Redwood City,2020-06-01,0.0263405
23,Redwood City,2020-12-01,0.015958
22,Redwood City,2020-11-01,0.019083
20,Redwood City,2020-09-01,0.028043
19,Redwood City,2020-08-01,0.025792
21,Redwood City,2020-10-01,0.02725
408,Roseville,2020-01-01,0.017304
409,Roseville,2020-02-01,0.024783
410,Roseville,2020-03-01,0.029
412,Roseville,2020-05-01,0.030471
413,Roseville,2020-06-01,0.0263405
414,Roseville,2020-07-01,0.0262125
415,Roseville,2020-08-01,0.025792
416,Roseville,2020-09-01,0.028043
417,Roseville,2020-10-01,0.02725
411,Roseville,2020-04-01,0.029304
419,Roseville,2020-12-01,0.015958
418,Roseville,2020-11-01,0.019083
394,Sacramento,2020-11-01,0.019083
393,Sacramento,2020-10-01,0.02725
392,Sacramento,2020-09-01,0.028043
390,Sacramento,2020-07-01,0.0262125
389,Sacramento,2020-06-01,0.0263405
388,Sacramento,2020-05-01,0.030471
387,Sacramento,2020-04-01,0.029304
386,Sacramento,2020-03-01,0.029
385,Sacramento,2020-02-01,0.024783
395,Sacramento,2020-12-01,0.015958
391,Sacramento,2020-08-01,0.025792
384,Sacramento,2020-01-01,0.017304
118,Salinas,2020-11-01,0.019083
117,Salinas,2020-10-01,0.02725
116,Salinas,2020-09-01,0.028043
115,Salinas,2020-08-01,0.025792
114,Salinas,2020-07-01,0.0262125
113,Salinas,2020-06-01,0.0263405
109,Salinas,2020-02-01,0.024783
112,Salinas,2020-05-01,0.030471
111,Salinas,2020-04-01,0.029304
110,Salinas,2020-03-01,0.029
119,Salinas,2020-12-01,0.015958
108,Salinas,2020-01-01,0.017304
0,San Francisco,2020-01-01,0.017304
9,San Francisco,2020-10-01,0.02725
8,San Francisco,2020-09-01,0.028043
7,San Francisco,2020-08-01,0.025792
6,San Francisco,2020-07-01,0.0262125
10,San Francisco,2020-11-01,0.019083
4,San Francisco,2020-05-01,0.030471
3,San Francisco,2020-04-01,0.029304
2,San Francisco,2020-03-01,0.029
1,San Francisco,2020-02-01,0.024783
5,San Francisco,2020-06-01,0.0263405
11,San Francisco,2020-12-01,0.015958
154,San Jose,2020-11-01,0.019083
144,San Jose,2020-01-01,0.017304
145,San Jose,2020-02-01,0.024783
146,San Jose,2020-03-01,0.029
147,San Jose,2020-04-01,0.029304
148,San Jose,2020-05-01,0.030471
150,San Jose,2020-07-01,0.0262125
151,San Jose,2020-08-01,0.025792
152,San Jose,2020-09-01,0.028043
153,San Jose,2020-10-01,0.02725
149,San Jose,2020-06-01,0.0263405
155,San Jose,2020-12-01,0.015958
37,San Martin,2020-02-01,0.024783
36,San Martin,2020-01-01,0.017304
47,San Martin,2020-12-01,0.015958
45,San Martin,2020-10-01,0.02725
44,San Martin,2020-09-01,0.028043
43,San Martin,2020-08-01,0.025792
46,San Martin,2020-11-01,0.019083
42,San Martin,2020-07-01,0.0262125
41,San Martin,2020-06-01,0.0263405
40,San Martin,2020-05-01,0.030471
39,San Martin,2020-04-01,0.029304
38,San Martin,2020-03-01,0.029
170,San Pablo,2020-03-01,0.029
176,San Pablo,2020-09-01,0.028043
175,San Pablo,2020-08-01,0.025792
174,San Pablo,2020-07-01,0.0262125
173,San Pablo,2020-06-01,0.0263405
172,San Pablo,2020-05-01,0.030471
171,San Pablo,2020-04-01,0.029304
177,San Pablo,2020-10-01,0.02725
169,San Pablo,2020-02-01,0.024783
178,San Pablo,2020-11-01,0.019083
168,San Pablo,2020-01-01,0.017304
179,San Pablo,2020-12-01,0.015958
93,San Rafael,2020-10-01,0.02725
94,San Rafael,2020-11-01,0.019083
91,San Rafael,2020-08-01,0.025792
90,San Rafael,2020-07-01,0.0262125
89,San Rafael,2020-06-01,0.0263405
88,San Rafael,2020-05-01,0.030471
86,San Rafael,2020-03-01,0.029
85,San Rafael,2020-02-01,0.024783
84,San Rafael,2020-01-01,0.017304
