,city,month,pm25 median,2020median_income
0,Concord,2020-08-01,9.25,95066.0
1,Concord,2020-07-01,6.4,95066.0
2,Concord,2020-05-01,4.7,95066.0
3,Concord,2020-04-01,4.7,95066.0
4,Concord,2020-03-01,4.3,95066.0
5,Concord,2020-02-01,8.0,95066.0
6,Concord,2020-01-01,6.8,95066.0
7,Concord,2020-06-01,5.291667,95066.0
8,Concord,2020-10-01,10.5,95066.0
9,Concord,2020-11-01,7.7,95066.0
10,Concord,2020-12-01,9.6,95066.0
11,Concord,2020-09-01,16.0425725,95066.0
12,Gilroy,2020-12-01,9.6,110472.0
13,Gilroy,2020-10-01,10.5,110472.0
14,Gilroy,2020-09-01,16.0425725,110472.0
15,Gilroy,2020-08-01,9.25,110472.0
16,Gilroy,2020-07-01,6.4,110472.0
17,Gilroy,2020-02-01,8.0,110472.0
18,Gilroy,2020-01-01,6.8,110472.0
19,Gilroy,2020-06-01,5.291667,110472.0
20,Gilroy,2020-05-01,4.7,110472.0
21,Gilroy,2020-04-01,4.7,110472.0
22,Gilroy,2020-03-01,4.3,110472.0
23,Gilroy,2020-11-01,7.7,110472.0
24,Livermore,2020-10-01,10.5,135016.0
25,Livermore,2020-12-01,9.6,135016.0
26,Livermore,2020-11-01,7.7,135016.0
27,Livermore,2020-01-01,6.8,135016.0
28,Livermore,2020-02-01,8.0,135016.0
29,Livermore,2020-03-01,4.3,135016.0
30,Livermore,2020-04-01,4.7,135016.0
31,Livermore,2020-05-01,4.7,135016.0
32,Livermore,2020-06-01,5.291667,135016.0
33,Livermore,2020-07-01,6.4,135016.0
34,Livermore,2020-08-01,9.25,135016.0
35,Livermore,2020-09-01,16.0425725,135016.0
36,Napa,2020-11-01,7.7,88141.0
37,Napa,2020-10-01,10.5,88141.0
38,Napa,2020-09-01,16.0425725,88141.0
39,Napa,2020-08-01,9.25,88141.0
40,Napa,2020-07-01,6.4,88141.0
41,Napa,2020-06-01,5.291667,88141.0
42,Napa,2020-05-01,4.7,88141.0
43,Napa,2020-04-01,4.7,88141.0
44,Napa,2020-03-01,4.3,88141.0
45,Napa,2020-02-01,8.0,88141.0
46,Napa,2020-01-01,6.8,88141.0
47,Napa,2020-12-01,9.6,88141.0
48,Oakland,2020-06-01,5.291667,82183.0
49,Oakland,2020-12-01,9.6,82183.0
50,Oakland,2020-11-01,7.7,82183.0
51,Oakland,2020-10-01,10.5,82183.0
52,Oakland,2020-09-01,16.0425725,82183.0
53,Oakland,2020-08-01,9.25,82183.0
54,Oakland,2020-07-01,6.4,82183.0
55,Oakland,2020-05-01,4.7,82183.0
56,Oakland,2020-04-01,4.7,82183.0
57,Oakland,2020-03-01,4.3,82183.0
58,Oakland,2020-02-01,8.0,82183.0
59,Oakland,2020-01-01,6.8,82183.0
60,Pleasanton,2020-12-01,9.6,164780.0
61,Pleasanton,2020-11-01,7.7,164780.0
62,Pleasanton,2020-01-01,6.8,164780.0
63,Pleasanton,2020-10-01,10.5,164780.0
64,Pleasanton,2020-09-01,16.0425725,164780.0
