,city,month,pm25 median
42,Arden-Arcade,2020-07-01,6.4
41,Arden-Arcade,2020-06-01,5.291667
47,Arden-Arcade,2020-12-01,9.6
46,Arden-Arcade,2020-11-01,7.7
44,Arden-Arcade,2020-09-01,16.0425725
43,Arden-Arcade,2020-08-01,9.25
45,Arden-Arcade,2020-10-01,10.5
37,Arden-Arcade,2020-02-01,8.0
38,Arden-Arcade,2020-03-01,4.3
39,Arden-Arcade,2020-04-01,4.7
40,Arden-Arcade,2020-05-01,4.7
36,Arden-Arcade,2020-01-01,6.8
271,Auburn,2020-08-01,9.25
275,Auburn,2020-12-01,9.6
273,Auburn,2020-10-01,10.5
272,Auburn,2020-09-01,16.0425725
270,Auburn,2020-07-01,6.4
274,Auburn,2020-11-01,7.7
268,Auburn,2020-05-01,4.7
269,Auburn,2020-06-01,5.291667
265,Auburn,2020-02-01,8.0
264,Auburn,2020-01-01,6.8
267,Auburn,2020-04-01,4.7
266,Auburn,2020-03-01,4.3
301,Carmel Valley Village,2020-02-01,8.0
309,Carmel Valley Village,2020-10-01,10.5
308,Carmel Valley Village,2020-09-01,16.0425725
307,Carmel Valley Village,2020-08-01,9.25
306,Carmel Valley Village,2020-07-01,6.4
305,Carmel Valley Village,2020-06-01,5.291667
304,Carmel Valley Village,2020-05-01,4.7
303,Carmel Valley Village,2020-04-01,4.7
302,Carmel Valley Village,2020-03-01,4.3
310,Carmel Valley Village,2020-11-01,7.7
311,Carmel Valley Village,2020-12-01,9.6
300,Carmel Valley Village,2020-01-01,6.8
67,Concord,2020-08-01,9.25
66,Concord,2020-07-01,6.4
64,Concord,2020-05-01,4.7
63,Concord,2020-04-01,4.7
62,Concord,2020-03-01,4.3
61,Concord,2020-02-01,8.0
60,Concord,2020-01-01,6.8
65,Concord,2020-06-01,5.291667
69,Concord,2020-10-01,10.5
70,Concord,2020-11-01,7.7
71,Concord,2020-12-01,9.6
68,Concord,2020-09-01,16.0425725
96,Folsom,2020-01-01,6.8
97,Folsom,2020-02-01,8.0
99,Folsom,2020-04-01,4.7
100,Folsom,2020-05-01,4.7
101,Folsom,2020-06-01,5.291667
102,Folsom,2020-07-01,6.4
103,Folsom,2020-08-01,9.25
104,Folsom,2020-09-01,16.0425725
105,Folsom,2020-10-01,10.5
98,Folsom,2020-03-01,4.3
107,Folsom,2020-12-01,9.6
106,Folsom,2020-11-01,7.7
191,Gilroy,2020-12-01,9.6
189,Gilroy,2020-10-01,10.5
188,Gilroy,2020-09-01,16.0425725
187,Gilroy,2020-08-01,9.25
186,Gilroy,2020-07-01,6.4
181,Gilroy,2020-02-01,8.0
180,Gilroy,2020-01-01,6.8
185,Gilroy,2020-06-01,5.291667
184,Gilroy,2020-05-01,4.7
183,Gilroy,2020-04-01,4.7
182,Gilroy,2020-03-01,4.3
190,Gilroy,2020-11-01,7.7
228,Hollister,2020-01-01,6.8
231,Hollister,2020-04-01,4.7
232,Hollister,2020-05-01,4.7
233,Hollister,2020-06-01,5.291667
234,Hollister,2020-07-01,6.4
235,Hollister,2020-08-01,9.25
236,Hollister,2020-09-01,16.0425725
237,Hollister,2020-10-01,10.5
238,Hollister,2020-11-01,7.7
239,Hollister,2020-12-01,9.6
229,Hollister,2020-02-01,8.0
230,Hollister,2020-03-01,4.3
292,King City,2020-05-01,4.7
296,King City,2020-09-01,16.0425725
295,King City,2020-08-01,9.25
294,King City,2020-07-01,6.4
293,King City,2020-06-01,5.291667
291,King City,2020-04-01,4.7
290,King City,2020-03-01,4.3
289,King City,2020-02-01,8.0
288,King City,2020-01-01,6.8
299,King City,2020-12-01,9.6
297,King City,2020-10-01,10.5
298,King City,2020-11-01,7.7
217,Live Oak,2020-02-01,8.0
227,Live Oak,2020-12-01,9.6
226,Live Oak,2020-11-01,7.7
225,Live Oak,2020-10-01,10.5
224,Live Oak,2020-09-01,16.0425725
223,Live Oak,2020-08-01,9.25
222,Live Oak,2020-07-01,6.4
221,Live Oak,2020-06-01,5.291667
220,Live Oak,2020-05-01,4.7
218,Live Oak,2020-03-01,4.3
216,Live Oak,2020-01-01,6.8
219,Live Oak,2020-04-01,4.7
261,Livermore,2020-10-01,10.5
263,Livermore,2020-12-01,9.6
262,Livermore,2020-11-01,7.7
252,Livermore,2020-01-01,6.8
253,Livermore,2020-02-01,8.0
254,Livermore,2020-03-01,4.3
255,Livermore,2020-04-01,4.7
256,Livermore,2020-05-01,4.7
257,Livermore,2020-06-01,5.291667
258,Livermore,2020-07-01,6.4
259,Livermore,2020-08-01,9.25
260,Livermore,2020-09-01,16.0425725
133,Manteca,2020-02-01,8.0
134,Manteca,2020-03-01,4.3
135,Manteca,2020-04-01,4.7
136,Manteca,2020-05-01,4.7
137,Manteca,2020-06-01,5.291667
142,Manteca,2020-11-01,7.7
139,Manteca,2020-08-01,9.25
140,Manteca,2020-09-01,16.0425725
141,Manteca,2020-10-01,10.5
143,Manteca,2020-12-01,9.6
138,Manteca,2020-07-01,6.4
132,Manteca,2020-01-01,6.8
130,Napa,2020-11-01,7.7
129,Napa,2020-10-01,10.5
128,Napa,2020-09-01,16.0425725
127,Napa,2020-08-01,9.25
126,Napa,2020-07-01,6.4
125,Napa,2020-06-01,5.291667
124,Napa,2020-05-01,4.7
123,Napa,2020-04-01,4.7
122,Napa,2020-03-01,4.3
121,Napa,2020-02-01,8.0
120,Napa,2020-01-01,6.8
131,Napa,2020-12-01,9.6
94,Not in a city,2020-11-01,7.7
93,Not in a city,2020-10-01,10.5
92,Not in a city,2020-09-01,16.0425725
91,Not in a city,2020-08-01,9.25
86,Not in a city,2020-03-01,4.3
89,Not in a city,2020-06-01,5.291667
88,Not in a city,2020-05-01,4.7
87,Not in a city,2020-04-01,4.7
95,Not in a city,2020-12-01,9.6
90,Not in a city,2020-07-01,6.4
85,Not in a city,2020-02-01,8.0
84,Not in a city,2020-01-01,6.8
173,Oakland,2020-06-01,5.291667
179,Oakland,2020-12-01,9.6
178,Oakland,2020-11-01,7.7
177,Oakland,2020-10-01,10.5
176,Oakland,2020-09-01,16.0425725
175,Oakland,2020-08-01,9.25
174,Oakland,2020-07-01,6.4
172,Oakland,2020-05-01,4.7
171,Oakland,2020-04-01,4.7
170,Oakland,2020-03-01,4.3
169,Oakland,2020-02-01,8.0
168,Oakland,2020-01-01,6.8
119,Pleasanton,2020-12-01,9.6
118,Pleasanton,2020-11-01,7.7
108,Pleasanton,2020-01-01,6.8
117,Pleasanton,2020-10-01,10.5
116,Pleasanton,2020-09-01,16.0425725
115,Pleasanton,2020-08-01,9.25
114,Pleasanton,2020-07-01,6.4
113,Pleasanton,2020-06-01,5.291667
111,Pleasanton,2020-04-01,4.7
110,Pleasanton,2020-03-01,4.3
109,Pleasanton,2020-02-01,8.0
112,Pleasanton,2020-05-01,4.7
193,Redwood City,2020-02-01,8.0
192,Redwood City,2020-01-01,6.8
194,Redwood City,2020-03-01,4.3
196,Redwood City,2020-05-01,4.7
198,Redwood City,2020-07-01,6.4
199,Redwood City,2020-08-01,9.25
200,Redwood City,2020-09-01,16.0425725
201,Redwood City,2020-10-01,10.5
202,Redwood City,2020-11-01,7.7
203,Redwood City,2020-12-01,9.6
195,Redwood City,2020-04-01,4.7
197,Redwood City,2020-06-01,5.291667
0,Roseville,2020-01-01,6.8
10,Roseville,2020-11-01,7.7
9,Roseville,2020-10-01,10.5
8,Roseville,2020-09-01,16.0425725
7,Roseville,2020-08-01,9.25
6,Roseville,2020-07-01,6.4
11,Roseville,2020-12-01,9.6
4,Roseville,2020-05-01,4.7
3,Roseville,2020-04-01,4.7
2,Roseville,2020-03-01,4.3
1,Roseville,2020-02-01,8.0
5,Roseville,2020-06-01,5.291667
33,Sacramento,2020-10-01,10.5
24,Sacramento,2020-01-01,6.8
25,Sacramento,2020-02-01,8.0
26,Sacramento,2020-03-01,4.3
27,Sacramento,2020-04-01,4.7
28,Sacramento,2020-05-01,4.7
29,Sacramento,2020-06-01,5.291667
30,Sacramento,2020-07-01,6.4
31,Sacramento,2020-08-01,9.25
32,Sacramento,2020-09-01,16.0425725
35,Sacramento,2020-12-01,9.6
34,Sacramento,2020-11-01,7.7
22,Salinas,2020-11-01,7.7
20,Salinas,2020-09-01,16.0425725
19,Salinas,2020-08-01,9.25
18,Salinas,2020-07-01,6.4
17,Salinas,2020-06-01,5.291667
16,Salinas,2020-05-01,4.7
15,Salinas,2020-04-01,4.7
14,Salinas,2020-03-01,4.3
13,Salinas,2020-02-01,8.0
12,Salinas,2020-01-01,6.8
23,Salinas,2020-12-01,9.6
21,Salinas,2020-10-01,10.5
146,San Francisco,2020-03-01,4.3
147,San Francisco,2020-04-01,4.7
148,San Francisco,2020-05-01,4.7
149,San Francisco,2020-06-01,5.291667
150,San Francisco,2020-07-01,6.4
151,San Francisco,2020-08-01,9.25
152,San Francisco,2020-09-01,16.0425725
153,San Francisco,2020-10-01,10.5
154,San Francisco,2020-11-01,7.7
145,San Francisco,2020-02-01,8.0
144,San Francisco,2020-01-01,6.8
155,San Francisco,2020-12-01,9.6
82,San Jose,2020-11-01,7.7
72,San Jose,2020-01-01,6.8
73,San Jose,2020-02-01,8.0
74,San Jose,2020-03-01,4.3
75,San Jose,2020-04-01,4.7
76,San Jose,2020-05-01,4.7
83,San Jose,2020-12-01,9.6
78,San Jose,2020-07-01,6.4
79,San Jose,2020-08-01,9.25
80,San Jose,2020-09-01,16.0425725
81,San Jose,2020-10-01,10.5
77,San Jose,2020-06-01,5.291667
312,San Pablo,2020-01-01,6.8
321,San Pablo,2020-10-01,10.5
320,San Pablo,2020-09-01,16.0425725
319,San Pablo,2020-08-01,9.25
318,San Pablo,2020-07-01,6.4
317,San Pablo,2020-06-01,5.291667
316,San Pablo,2020-05-01,4.7
315,San Pablo,2020-04-01,4.7
314,San Pablo,2020-03-01,4.3
313,San Pablo,2020-02-01,8.0
323,San Pablo,2020-12-01,9.6
322,San Pablo,2020-11-01,7.7
161,San Rafael,2020-06-01,5.291667
167,San Rafael,2020-12-01,9.6
166,San Rafael,2020-11-01,7.7
165,San Rafael,2020-10-01,10.5
163,San Rafael,2020-08-01,9.25
162,San Rafael,2020-07-01,6.4
164,San Rafael,2020-09-01,16.0425725
159,San Rafael,2020-04-01,4.7
158,San Rafael,2020-03-01,4.3
157,San Rafael,2020-02-01,8.0
156,San Rafael,2020-01-01,6.8
160,San Rafael,2020-05-01,4.7
283,Sebastopol,2020-08-01,9.25
287,Sebastopol,2020-12-01,9.6
286,Sebastopol,2020-11-01,7.7
285,Sebastopol,2020-10-01,10.5
284,Sebastopol,2020-09-01,16.0425725
282,Sebastopol,2020-07-01,6.4
277,Sebastopol,2020-02-01,8.0
280,Sebastopol,2020-05-01,4.7
279,Sebastopol,2020-04-01,4.7
278,Sebastopol,2020-03-01,4.3
276,Sebastopol,2020-01-01,6.8
281,Sebastopol,2020-06-01,5.291667
206,Stockton,2020-03-01,4.3
204,Stockton,2020-01-01,6.8
205,Stockton,2020-02-01,8.0
207,Stockton,2020-04-01,4.7
208,Stockton,2020-05-01,4.7
210,Stockton,2020-07-01,6.4
211,Stockton,2020-08-01,9.25
212,Stockton,2020-09-01,16.0425725
213,Stockton,2020-10-01,10.5
214,Stockton,2020-11-01,7.7
215,Stockton,2020-12-01,9.6
209,Stockton,2020-06-01,5.291667
251,Vallejo,2020-12-01,9.6
249,Vallejo,2020-10-01,10.5
247,Vallejo,2020-08-01,9.25
246,Vallejo,2020-07-01,6.4
245,Vallejo,2020-06-01,5.291667
248,Vallejo,2020-09-01,16.0425725
243,Vallejo,2020-04-01,4.7
244,Vallejo,2020-05-01,4.7
240,Vallejo,2020-01-01,6.8
