,city,month,nitrogen max
206,San Francisco,2020-03-01,17.880952
12,San Jose,2020-01-01,23.986957
23,San Jose,2020-12-01,36.617391
22,San Jose,2020-11-01,32.034783
21,San Jose,2020-10-01,35.230435
20,San Jose,2020-09-01,22.704348
19,San Jose,2020-08-01,17.7
18,San Jose,2020-07-01,10.195455
17,San Jose,2020-06-01,14.23913
16,San Jose,2020-05-01,16.826087
15,San Jose,2020-04-01,12.852174
13,San Jose,2020-02-01,30.818182
14,San Jose,2020-03-01,23.547826
120,San Pablo,2020-01-01,16.386957
121,San Pablo,2020-02-01,15.813043
122,San Pablo,2020-03-01,12.43913
123,San Pablo,2020-04-01,8.03913
124,San Pablo,2020-05-01,8.530435
125,San Pablo,2020-06-01,9.3
126,San Pablo,2020-07-01,5.554545
127,San Pablo,2020-08-01,8.454545
128,San Pablo,2020-09-01,15.322727
129,San Pablo,2020-10-01,17.756522
130,San Pablo,2020-11-01,14.347826
131,San Pablo,2020-12-01,19.095
71,San Rafael,2020-12-01,25.66087
70,San Rafael,2020-11-01,18.986957
60,San Rafael,2020-01-01,16.686957
69,San Rafael,2020-10-01,24.173913
68,San Rafael,2020-09-01,13.043478
67,San Rafael,2020-08-01,8.285
66,San Rafael,2020-07-01,3.430435
65,San Rafael,2020-06-01,7.908696
64,San Rafael,2020-05-01,8.821739
63,San Rafael,2020-04-01,8.543478
62,San Rafael,2020-03-01,14.4
61,San Rafael,2020-02-01,19.095652
170,San Ramon,2020-03-01,11.034783
179,San Ramon,2020-12-01,18.694444
178,San Ramon,2020-11-01,18.008696
177,San Ramon,2020-10-01,14.56087
176,San Ramon,2020-09-01,13.552174
175,San Ramon,2020-08-01,9.230435
174,San Ramon,2020-07-01,5.0
168,San Ramon,2020-01-01,13.391304
172,San Ramon,2020-05-01,6.443478
171,San Ramon,2020-04-01,5.321739
169,San Ramon,2020-02-01,16.473913
173,San Ramon,2020-06-01,5.382609
162,Sebastopol,2020-07-01,2.378261
167,Sebastopol,2020-12-01,13.8
157,Sebastopol,2020-02-01,11.46875
158,Sebastopol,2020-03-01,6.0
159,Sebastopol,2020-04-01,4.377273
160,Sebastopol,2020-05-01,3.365217
156,Sebastopol,2020-01-01,10.473913
163,Sebastopol,2020-08-01,5.113043
164,Sebastopol,2020-09-01,7.926087
165,Sebastopol,2020-10-01,8.034783
166,Sebastopol,2020-11-01,10.417391
161,Sebastopol,2020-06-01,2.895652
218,Stockton,2020-03-01,22.86087
227,Stockton,2020-12-01,31.743478
226,Stockton,2020-11-01,28.913043
225,Stockton,2020-10-01,33.356522
224,Stockton,2020-09-01,24.317391
223,Stockton,2020-08-01,12.413043
222,Stockton,2020-07-01,8.647826
221,Stockton,2020-06-01,10.643478
220,Stockton,2020-05-01,12.634783
219,Stockton,2020-04-01,10.613043
217,Stockton,2020-02-01,27.765217
216,Stockton,2020-01-01,20.53913
239,Tracy,2020-12-01,13.891304
237,Tracy,2020-10-01,11.726087
236,Tracy,2020-09-01,14.290476
235,Tracy,2020-08-01,8.434783
234,Tracy,2020-07-01,5.882609
233,Tracy,2020-06-01,5.05
232,Tracy,2020-05-01,5.76087
231,Tracy,2020-04-01,4.738889
230,Tracy,2020-03-01,9.369565
229,Tracy,2020-02-01,11.391304
228,Tracy,2020-01-01,10.186957
238,Tracy,2020-11-01,11.169565
24,Vallejo,2020-01-01,21.425
27,Vallejo,2020-04-01,11.569565
28,Vallejo,2020-05-01,7.3
29,Vallejo,2020-06-01,7.969565
30,Vallejo,2020-07-01,5.213043
31,Vallejo,2020-08-01,7.586957
32,Vallejo,2020-09-01,12.230435
33,Vallejo,2020-10-01,23.343478
34,Vallejo,2020-11-01,20.13913
35,Vallejo,2020-12-01,24.982609
26,Vallejo,2020-03-01,14.895652
25,Vallejo,2020-02-01,21.891304
