,city,month,pm25 max,median_income_2020
0,Concord,2020-08-01,80.916667,95066.0
1,Concord,2020-07-01,12.875,95066.0
2,Concord,2020-05-01,8.956522,95066.0
3,Concord,2020-04-01,10.208333,95066.0
4,Concord,2020-03-01,11.583333,95066.0
5,Concord,2020-02-01,17.0,95066.0
6,Concord,2020-01-01,18.333333,95066.0
7,Concord,2020-06-01,11.583333,95066.0
8,Concord,2020-10-01,96.333333,95066.0
9,Concord,2020-11-01,19.25,95066.0
10,Concord,2020-12-01,24.291667,95066.0
11,Concord,2020-09-01,121.4,95066.0
12,Gilroy,2020-12-01,20.375,110472.0
13,Gilroy,2020-10-01,79.75,110472.0
14,Gilroy,2020-09-01,102.541667,110472.0
15,Gilroy,2020-08-01,73.416667,110472.0
16,Gilroy,2020-07-01,27.833333,110472.0
17,Gilroy,2020-02-01,14.541667,110472.0
18,Gilroy,2020-01-01,12.625,110472.0
19,Gilroy,2020-06-01,11.136364,110472.0
20,Gilroy,2020-05-01,8.521739,110472.0
21,Gilroy,2020-04-01,7.75,110472.0
22,Gilroy,2020-03-01,10.166667,110472.0
23,Gilroy,2020-11-01,15.833333,110472.0
24,Livermore,2020-10-01,95.75,135016.0
25,Livermore,2020-12-01,26.916667,135016.0
26,Livermore,2020-11-01,25.458333,135016.0
27,Livermore,2020-01-01,16.083333,135016.0
28,Livermore,2020-02-01,14.625,135016.0
29,Livermore,2020-03-01,11.0,135016.0
30,Livermore,2020-04-01,10.304348,135016.0
31,Livermore,2020-05-01,8.333333,135016.0
32,Livermore,2020-06-01,8.166667,135016.0
33,Livermore,2020-07-01,13.625,135016.0
34,Livermore,2020-08-01,99.916667,135016.0
35,Livermore,2020-09-01,122.041667,135016.0
36,Napa,2020-11-01,17.0,88141.0
37,Napa,2020-10-01,148.583333,88141.0
38,Napa,2020-09-01,91.75,88141.0
39,Napa,2020-08-01,51.291667,88141.0
40,Napa,2020-07-01,12.666667,88141.0
41,Napa,2020-06-01,12.875,88141.0
42,Napa,2020-05-01,8.291667,88141.0
43,Napa,2020-04-01,9.583333,88141.0
44,Napa,2020-03-01,11.75,88141.0
45,Napa,2020-02-01,13.416667,88141.0
46,Napa,2020-01-01,16.208333,88141.0
47,Napa,2020-12-01,20.708333,88141.0
48,Oakland,2020-06-01,15.958333,82183.0
49,Oakland,2020-12-01,35.25,82183.0
50,Oakland,2020-11-01,27.583333,82183.0
51,Oakland,2020-10-01,75.791667,82183.0
52,Oakland,2020-09-01,167.708333,82183.0
53,Oakland,2020-08-01,46.708333,82183.0
54,Oakland,2020-07-01,41.125,82183.0
55,Oakland,2020-05-01,13.625,82183.0
56,Oakland,2020-04-01,12.869565,82183.0
57,Oakland,2020-03-01,12.666667,82183.0
58,Oakland,2020-02-01,19.083333,82183.0
59,Oakland,2020-01-01,21.75,82183.0
60,Pleasanton,2020-12-01,23.875,164780.0
61,Pleasanton,2020-11-01,20.083333,164780.0
62,Pleasanton,2020-01-01,15.333333,164780.0
63,Pleasanton,2020-10-01,103.958333,164780.0
64,Pleasanton,2020-09-01,123.818182,164780.0
65,Pleasanton,2020-08-01,96.541667,164780.0
66,Pleasanton,2020-07-01,20.0,164780.0
67,Pleasanton,2020-06-01,9.5,164780.0
68,Pleasanton,2020-04-01,12.708333,164780.0
69,Pleasanton,2020-03-01,12.416667,164780.0
70,Pleasanton,2020-02-01,16.25,164780.0
71,Pleasanton,2020-05-01,10.5,164780.0
72,Redwood City,2020-02-01,17.208333,126433.0
73,Redwood City,2020-01-01,12.583333,126433.0
74,Redwood City,2020-03-01,11.708333,126433.0
75,Redwood City,2020-05-01,10.583333,126433.0
76,Redwood City,2020-07-01,16.208333,126433.0
77,Redwood City,2020-08-01,51.625,126433.0
78,Redwood City,2020-09-01,124.166667,126433.0
79,Redwood City,2020-10-01,47.041667,126433.0
80,Redwood City,2020-11-01,21.416667,126433.0
81,Redwood City,2020-12-01,21.583333,126433.0
82,Redwood City,2020-04-01,9.608696,126433.0
83,Redwood City,2020-06-01,11.458333,126433.0
84,San Francisco,2020-03-01,13.375,122169.0
85,San Francisco,2020-04-01,12.958333,122169.0
86,San Francisco,2020-05-01,15.083333,122169.0
87,San Francisco,2020-06-01,18.0,122169.0
88,San Francisco,2020-07-01,23.0,122169.0
89,San Francisco,2020-08-01,39.791667,122169.0
90,San Francisco,2020-09-01,147.333333,122169.0
91,San Francisco,2020-10-01,47.208333,122169.0
92,San Francisco,2020-11-01,18.25,122169.0
93,San Francisco,2020-02-01,19.916667,122169.0
94,San Francisco,2020-01-01,16.333333,122169.0
95,San Francisco,2020-12-01,28.708333,122169.0
96,San Jose,2020-11-01,31.583333,120311.0
97,San Jose,2020-01-01,18.958333,120311.0
98,San Jose,2020-02-01,18.791667,120311.0
99,San Jose,2020-03-01,12.458333,120311.0
100,San Jose,2020-04-01,20.1,120311.0
101,San Jose,2020-05-01,10.541667,120311.0
102,San Jose,2020-12-01,37.041667,120311.0
103,San Jose,2020-07-01,23.666667,120311.0
104,San Jose,2020-08-01,85.375,120311.0
105,San Jose,2020-09-01,123.125,120311.0
106,San Jose,2020-10-01,79.0,120311.0
107,San Jose,2020-06-01,13.625,120311.0
108,San Pablo,2020-01-01,17.541667,62367.0
109,San Pablo,2020-10-01,50.0,62367.0
110,San Pablo,2020-09-01,145.5,62367.0
111,San Pablo,2020-08-01,36.416667,62367.0
112,San Pablo,2020-07-01,22.875,62367.0
113,San Pablo,2020-06-01,16.291667,62367.0
114,San Pablo,2020-05-01,15.958333,62367.0
115,San Pablo,2020-04-01,14.416667,62367.0
116,San Pablo,2020-03-01,16.541667,62367.0
117,San Pablo,2020-02-01,15.0,62367.0
118,San Pablo,2020-12-01,21.25,62367.0
119,San Pablo,2020-11-01,21.375,62367.0
120,San Rafael,2020-06-01,13.043478,99479.0
121,San Rafael,2020-12-01,20.25,99479.0
122,San Rafael,2020-11-01,18.833333,99479.0
123,San Rafael,2020-10-01,50.583333,99479.0
124,San Rafael,2020-08-01,40.958333,99479.0
125,San Rafael,2020-07-01,11.458333,99479.0
126,San Rafael,2020-09-01,155.541667,99479.0
127,San Rafael,2020-04-01,10.181818,99479.0
128,San Rafael,2020-03-01,11.166667,99479.0
129,San Rafael,2020-02-01,13.875,99479.0
130,San Rafael,2020-01-01,16.0,99479.0
131,San Rafael,2020-05-01,9.583333,99479.0
132,Sebastopol,2020-08-01,34.0,85991.0
133,Sebastopol,2020-12-01,16.958333,85991.0
134,Sebastopol,2020-11-01,13.0,85991.0
135,Sebastopol,2020-10-01,58.916667,85991.0
136,Sebastopol,2020-09-01,124.333333,85991.0
137,Sebastopol,2020-07-01,12.565217,85991.0
138,Sebastopol,2020-02-01,10.26087,85991.0
139,Sebastopol,2020-05-01,7.375,85991.0
140,Sebastopol,2020-04-01,7.833333,85991.0
141,Sebastopol,2020-03-01,9.291667,85991.0
142,Sebastopol,2020-01-01,16.333333,85991.0
143,Sebastopol,2020-06-01,11.583333,85991.0
144,Vallejo,2020-12-01,29.875,75750.0
145,Vallejo,2020-10-01,69.291667,75750.0
146,Vallejo,2020-08-01,52.291667,75750.0
147,Vallejo,2020-07-01,18.041667,75750.0
148,Vallejo,2020-06-01,13.956522,75750.0
149,Vallejo,2020-09-01,153.291667,75750.0
150,Vallejo,2020-04-01,12.875,75750.0
151,Vallejo,2020-05-01,12.458333,75750.0
152,Vallejo,2020-01-01,25.416667,75750.0
153,Vallejo,2020-11-01,27.833333,75750.0
154,Vallejo,2020-03-01,15.166667,75750.0
155,Vallejo,2020-02-01,20.416667,75750.0
