,city,month,ozone max,median_income_2020
0,Concord,2020-09-01,0.050294,95066.0
1,Concord,2020-10-01,0.037824,95066.0
2,Concord,2020-06-01,0.041059,95066.0
3,Concord,2020-12-01,0.025412,95066.0
4,Concord,2020-11-01,0.035174,95066.0
5,Concord,2020-01-01,0.034217,95066.0
6,Concord,2020-02-01,0.041882,95066.0
7,Concord,2020-03-01,0.042176,95066.0
8,Concord,2020-04-01,0.042588,95066.0
9,Concord,2020-05-01,0.048471,95066.0
10,Concord,2020-07-01,0.040957,95066.0
11,Concord,2020-08-01,0.046765,95066.0
12,Fairfield,2020-04-01,0.041522,88399.0
13,Fairfield,2020-05-01,0.049353,88399.0
14,Fairfield,2020-06-01,0.038235,88399.0
15,Fairfield,2020-03-01,0.041824,88399.0
16,Fairfield,2020-08-01,0.045765,88399.0
17,Fairfield,2020-09-01,0.053176,88399.0
18,Fairfield,2020-02-01,0.040235,88399.0
19,Fairfield,2020-10-01,0.045471,88399.0
20,Fairfield,2020-07-01,0.038765,88399.0
21,Fairfield,2020-01-01,0.034294,88399.0
22,Fairfield,2020-12-01,0.031478,88399.0
23,Fairfield,2020-11-01,0.040588,88399.0
24,Gilroy,2020-03-01,0.037,110472.0
25,Gilroy,2020-01-01,0.026118,110472.0
26,Gilroy,2020-12-01,0.026176,110472.0
27,Gilroy,2020-11-01,0.035739,110472.0
28,Gilroy,2020-10-01,0.045471,110472.0
29,Gilroy,2020-09-01,0.063529,110472.0
30,Gilroy,2020-08-01,0.044059,110472.0
31,Gilroy,2020-07-01,0.038706,110472.0
32,Gilroy,2020-06-01,0.041765,110472.0
33,Gilroy,2020-05-01,0.049588,110472.0
34,Gilroy,2020-04-01,0.041353,110472.0
35,Gilroy,2020-02-01,0.035588,110472.0
36,Hayward,2020-01-01,0.036304,93819.0
37,Hayward,2020-02-01,0.048824,93819.0
38,Hayward,2020-03-01,0.044765,93819.0
39,Hayward,2020-11-01,0.059353,93819.0
40,Hayward,2020-10-01,0.057059,93819.0
41,Hayward,2020-09-01,0.072706,93819.0
42,Hayward,2020-08-01,0.041913,93819.0
43,Hayward,2020-12-01,0.042,93819.0
44,Hayward,2020-06-01,0.044059,93819.0
45,Hayward,2020-05-01,0.050174,93819.0
46,Hayward,2020-04-01,0.045412,93819.0
47,Hayward,2020-07-01,0.038609,93819.0
48,Healdsburg,2020-09-01,,91511.0
49,Healdsburg,2020-08-01,,91511.0
50,Healdsburg,2020-12-01,,91511.0
51,Healdsburg,2020-06-01,,91511.0
52,Healdsburg,2020-05-01,,91511.0
53,Healdsburg,2020-04-01,,91511.0
54,Healdsburg,2020-03-01,,91511.0
55,Healdsburg,2020-02-01,,91511.0
56,Healdsburg,2020-01-01,0.033412,91511.0
57,Healdsburg,2020-10-01,,91511.0
58,Healdsburg,2020-07-01,,91511.0
59,Healdsburg,2020-11-01,,91511.0
60,Livermore,2020-06-01,0.040941,135016.0
61,Livermore,2020-10-01,0.036783,135016.0
62,Livermore,2020-09-01,0.046529,135016.0
63,Livermore,2020-08-01,0.045765,135016.0
64,Livermore,2020-07-01,0.04,135016.0
65,Livermore,2020-05-01,0.049941,135016.0
66,Livermore,2020-04-01,0.041882,135016.0
67,Livermore,2020-03-01,0.043824,135016.0
68,Livermore,2020-02-01,0.043071,135016.0
69,Livermore,2020-01-01,0.033391,135016.0
70,Livermore,2020-11-01,0.036882,135016.0
71,Livermore,2020-12-01,0.03,135016.0
72,Los Gatos,2020-12-01,0.034294,160248.0
73,Los Gatos,2020-08-01,0.038739,160248.0
74,Los Gatos,2020-07-01,0.036826,160248.0
75,Los Gatos,2020-06-01,0.038882,160248.0
76,Los Gatos,2020-05-01,0.044706,160248.0
77,Los Gatos,2020-11-01,0.047941,160248.0
78,Los Gatos,2020-04-01,0.039059,160248.0
79,Los Gatos,2020-03-01,0.037529,160248.0
80,Los Gatos,2020-02-01,0.035176,160248.0
81,Los Gatos,2020-01-01,0.033609,160248.0
82,Los Gatos,2020-10-01,0.049588,160248.0
83,Los Gatos,2020-09-01,0.064059,160248.0
84,Napa,2020-02-01,0.039588,88141.0
85,Napa,2020-12-01,0.03219,88141.0
86,Napa,2020-11-01,0.039353,88141.0
87,Napa,2020-10-01,0.041857,88141.0
88,Napa,2020-09-01,0.044412,88141.0
89,Napa,2020-08-01,0.038235,88141.0
