,city,month,pm10 max
210,Guerneville,2020-07-01,16.458333
209,Guerneville,2020-06-01,18.809524
208,Guerneville,2020-05-01,17.583333
207,Guerneville,2020-04-01,14.75
205,Guerneville,2020-02-01,19.791667
206,Guerneville,2020-03-01,20.0
202,Healdsburg,2020-11-01,31.125
203,Healdsburg,2020-12-01,29.083333
198,Healdsburg,2020-07-01,19.090909
192,Healdsburg,2020-01-01,21.166667
193,Healdsburg,2020-02-01,19.291667
194,Healdsburg,2020-03-01,20.541667
195,Healdsburg,2020-04-01,16.625
196,Healdsburg,2020-05-01,20.5
197,Healdsburg,2020-06-01,26.666667
199,Healdsburg,2020-08-01,55.541667
200,Healdsburg,2020-09-01,125.083333
201,Healdsburg,2020-10-01,125.291667
188,Hollister,2020-09-01,116.666667
187,Hollister,2020-08-01,159.083333
186,Hollister,2020-07-01,42.916667
185,Hollister,2020-06-01,48.041667
181,Hollister,2020-02-01,42.333333
183,Hollister,2020-04-01,17.708333
182,Hollister,2020-03-01,21.5
189,Hollister,2020-10-01,106.416667
180,Hollister,2020-01-01,19.625
184,Hollister,2020-05-01,40.875
191,Hollister,2020-12-01,45.363636
190,Hollister,2020-11-01,62.166667
178,King City,2020-11-01,75.291667
179,King City,2020-12-01,44.5
177,King City,2020-10-01,122.208333
176,King City,2020-09-01,114.25
175,King City,2020-08-01,238.625
174,King City,2020-07-01,41.153846
173,King City,2020-06-01,49.0
171,King City,2020-04-01,22.833333
170,King City,2020-03-01,15.916667
169,King City,2020-02-01,22.5
168,King City,2020-01-01,14.833333
172,King City,2020-05-01,65.782609
157,Manteca,2020-02-01,46.666667
158,Manteca,2020-03-01,49.826087
159,Manteca,2020-04-01,25.833333
160,Manteca,2020-05-01,39.416667
161,Manteca,2020-06-01,92.666667
162,Manteca,2020-07-01,44.333333
163,Manteca,2020-08-01,128.416667
164,Manteca,2020-09-01,335.478261
165,Manteca,2020-10-01,169.0
156,Manteca,2020-01-01,40.291667
167,Manteca,2020-12-01,90.291667
166,Manteca,2020-11-01,90.916667
239,Middletown,2020-12-01,11.0
231,Middletown,2020-04-01,10.0
232,Middletown,2020-05-01,12.0
233,Middletown,2020-06-01,14.0
234,Middletown,2020-07-01,21.0
235,Middletown,2020-08-01,91.0
236,Middletown,2020-09-01,80.0
237,Middletown,2020-10-01,31.0
238,Middletown,2020-11-01,16.0
228,Middletown,2020-01-01,12.0
229,Middletown,2020-02-01,34.0
230,Middletown,2020-03-01,11.0
264,Napa,2020-01-01,13.0
265,Napa,2020-02-01,20.0
266,Napa,2020-03-01,17.0
267,Napa,2020-04-01,15.0
268,Napa,2020-05-01,18.0
269,Napa,2020-06-01,16.0
270,Napa,2020-07-01,21.0
271,Napa,2020-08-01,42.0
272,Napa,2020-09-01,122.0
273,Napa,2020-10-01,43.0
274,Napa,2020-11-01,22.0
275,Napa,2020-12-01,35.0
71,Not in a city,2020-12-01,43.0
60,Not in a city,2020-01-01,18.0
61,Not in a city,2020-02-01,31.0
62,Not in a city,2020-03-01,32.0
64,Not in a city,2020-05-01,23.0
65,Not in a city,2020-06-01,22.0
63,Not in a city,2020-04-01,27.0
67,Not in a city,2020-08-01,74.0
68,Not in a city,2020-09-01,187.0
69,Not in a city,2020-10-01,62.0
70,Not in a city,2020-11-01,42.0
66,Not in a city,2020-07-01,30.0
151,Roseville,2020-08-01,160.791667
155,Roseville,2020-12-01,46.625
154,Roseville,2020-11-01,41.375
153,Roseville,2020-10-01,97.541667
152,Roseville,2020-09-01,251.375
150,Roseville,2020-07-01,47.791667
149,Roseville,2020-06-01,30.375
148,Roseville,2020-05-01,35.041667
147,Roseville,2020-04-01,29.166667
146,Roseville,2020-03-01,23.727273
145,Roseville,2020-02-01,26.083333
144,Roseville,2020-01-01,25.625
129,Sacramento,2020-10-01,137.083333
128,Sacramento,2020-09-01,298.391304
127,Sacramento,2020-08-01,101.913043
126,Sacramento,2020-07-01,32.0
125,Sacramento,2020-06-01,36.666667
123,Sacramento,2020-04-01,27.208333
131,Sacramento,2020-12-01,61.375
122,Sacramento,2020-03-01,33.434783
121,Sacramento,2020-02-01,39.5
120,Sacramento,2020-01-01,30.875
124,Sacramento,2020-05-01,32.791667
130,Sacramento,2020-11-01,64.75
0,San Francisco,2020-01-01,20.0
11,San Francisco,2020-12-01,31.0
9,San Francisco,2020-10-01,29.0
8,San Francisco,2020-09-01,102.0
7,San Francisco,2020-08-01,58.0
6,San Francisco,2020-07-01,23.0
10,San Francisco,2020-11-01,13.0
4,San Francisco,2020-05-01,25.0
3,San Francisco,2020-04-01,22.0
2,San Francisco,2020-03-01,30.0
1,San Francisco,2020-02-01,29.0
5,San Francisco,2020-06-01,19.0
240,San Jose,2020-01-01,26.0
244,San Jose,2020-05-01,20.0
245,San Jose,2020-06-01,24.0
246,San Jose,2020-07-01,25.0
247,San Jose,2020-08-01,91.0
248,San Jose,2020-09-01,134.0
249,San Jose,2020-10-01,56.0
250,San Jose,2020-11-01,55.0
251,San Jose,2020-12-01,58.0
241,San Jose,2020-02-01,39.0
243,San Jose,2020-04-01,17.0
242,San Jose,2020-03-01,34.0
255,San Pablo,2020-04-01,24.0
263,San Pablo,2020-12-01,39.0
254,San Pablo,2020-03-01,23.0
262,San Pablo,2020-11-01,23.0
261,San Pablo,2020-10-01,29.0
260,San Pablo,2020-09-01,112.0
259,San Pablo,2020-08-01,42.0
258,San Pablo,2020-07-01,28.0
257,San Pablo,2020-06-01,27.0
256,San Pablo,2020-05-01,22.0
253,San Pablo,2020-02-01,26.0
252,San Pablo,2020-01-01,20.0
26,San Rafael,2020-03-01,18.0
34,San Rafael,2020-11-01,19.0
33,San Rafael,2020-10-01,34.0
32,San Rafael,2020-09-01,115.0
31,San Rafael,2020-08-01,29.0
30,San Rafael,2020-07-01,21.0
29,San Rafael,2020-06-01,15.0
27,San Rafael,2020-04-01,16.0
35,San Rafael,2020-12-01,39.0
25,San Rafael,2020-02-01,19.0
28,San Rafael,2020-05-01,16.0
24,San Rafael,2020-01-01,15.0
49,Stockton,2020-02-01,47.0
50,Stockton,2020-03-01,54.0
51,Stockton,2020-04-01,24.0
53,Stockton,2020-06-01,24.0
54,Stockton,2020-07-01,28.0
55,Stockton,2020-08-01,100.0
56,Stockton,2020-09-01,147.0
57,Stockton,2020-10-01,113.0
58,Stockton,2020-11-01,61.0
59,Stockton,2020-12-01,113.0
48,Stockton,2020-01-01,29.0
52,Stockton,2020-05-01,23.0
142,Tracy,2020-11-01,54.208333
137,Tracy,2020-06-01,31.166667
143,Tracy,2020-12-01,46.833333
132,Tracy,2020-01-01,20.791667
134,Tracy,2020-03-01,34.208333
135,Tracy,2020-04-01,21.875
133,Tracy,2020-02-01,50.625
138,Tracy,2020-07-01,31.625
139,Tracy,2020-08-01,141.583333
140,Tracy,2020-09-01,235.625
141,Tracy,2020-10-01,138.833333
136,Tracy,2020-05-01,29.166667
42,Vacaville,2020-07-01,
46,Vacaville,2020-11-01,30.0
45,Vacaville,2020-10-01,67.0
44,Vacaville,2020-09-01,170.0
43,Vacaville,2020-08-01,326.0
41,Vacaville,2020-06-01,
47,Vacaville,2020-12-01,43.0
39,Vacaville,2020-04-01,
38,Vacaville,2020-03-01,
37,Vacaville,2020-02-01,
36,Vacaville,2020-01-01,
40,Vacaville,2020-05-01,
95,West Sacramento,2020-12-01,50.0
94,West Sacramento,2020-11-01,53.0
93,West Sacramento,2020-10-01,116.0
91,West Sacramento,2020-08-01,71.0
90,West Sacramento,2020-07-01,
89,West Sacramento,2020-06-01,17.0
92,West Sacramento,2020-09-01,173.0
87,West Sacramento,2020-04-01,17.0
86,West Sacramento,2020-03-01,26.0
85,West Sacramento,2020-02-01,29.0
84,West Sacramento,2020-01-01,21.0
88,West Sacramento,2020-05-01,15.0
20,Woodland,2020-09-01,223.0
19,Woodland,2020-08-01,86.0
18,Woodland,2020-07-01,
17,Woodland,2020-06-01,
16,Woodland,2020-05-01,22.0
14,Woodland,2020-03-01,31.0
13,Woodland,2020-02-01,26.0
12,Woodland,2020-01-01,19.0
23,Woodland,2020-12-01,48.0
22,Woodland,2020-11-01,62.0
15,Woodland,2020-04-01,22.0
21,Woodland,2020-10-01,124.0
