,city,month,pm10 max
83,Arden-Arcade,2020-12-01,50.0
72,Arden-Arcade,2020-01-01,20.0
73,Arden-Arcade,2020-02-01,41.0
74,Arden-Arcade,2020-03-01,33.0
75,Arden-Arcade,2020-04-01,27.0
76,Arden-Arcade,2020-05-01,23.0
77,Arden-Arcade,2020-06-01,28.0
79,Arden-Arcade,2020-08-01,74.0
80,Arden-Arcade,2020-09-01,188.0
81,Arden-Arcade,2020-10-01,75.0
78,Arden-Arcade,2020-07-01,34.0
82,Arden-Arcade,2020-11-01,57.0
109,Bethel Island,2020-02-01,21.0
118,Bethel Island,2020-11-01,
119,Bethel Island,2020-12-01,
108,Bethel Island,2020-01-01,18.0
117,Bethel Island,2020-10-01,
115,Bethel Island,2020-08-01,
116,Bethel Island,2020-09-01,
113,Bethel Island,2020-06-01,
112,Bethel Island,2020-05-01,
111,Bethel Island,2020-04-01,
110,Bethel Island,2020-03-01,38.0
114,Bethel Island,2020-07-01,
219,Cobb,2020-04-01,7.0
216,Cobb,2020-01-01,6.0
217,Cobb,2020-02-01,7.0
218,Cobb,2020-03-01,10.0
220,Cobb,2020-05-01,9.0
227,Cobb,2020-12-01,6.0
222,Cobb,2020-07-01,17.0
223,Cobb,2020-08-01,62.0
224,Cobb,2020-09-01,64.0
225,Cobb,2020-10-01,27.0
226,Cobb,2020-11-01,12.0
221,Cobb,2020-06-01,13.0
103,Concord,2020-08-01,25.0
102,Concord,2020-07-01,15.0
101,Concord,2020-06-01,7.0
100,Concord,2020-05-01,10.0
97,Concord,2020-02-01,17.0
98,Concord,2020-03-01,20.0
96,Concord,2020-01-01,10.0
106,Concord,2020-11-01,21.0
107,Concord,2020-12-01,33.0
99,Concord,2020-04-01,9.0
104,Concord,2020-09-01,165.0
105,Concord,2020-10-01,43.0
215,Guerneville,2020-12-01,30.6
214,Guerneville,2020-11-01,48.916667
204,Guerneville,2020-01-01,17.875
213,Guerneville,2020-10-01,48.125
212,Guerneville,2020-09-01,140.625
211,Guerneville,2020-08-01,78.375
